1,الفاتِحَة,Al-Fātiḥah,7,74,314
2,البَقَرَة,Al-Baqarah,286,12316,52639
3,آلِ عِمران,Āli ʿImrān,200,7080,30276
4,النِّساء,An-Nisāʾ,176,7347,31845
5,المائِدَة,Al-Māʾidah,120,5598,23932
6,الأَنعام,Al-Anʿām,165,6226,26109
7,الأَعراف,Al-Aʿrāf,206,6796,28550
8,الأَنفال,Al-Anfāl,75,2525,10834
9,التَّوبَة,At-Tawbah,129,5169,22679
10,يونُس,Yūnus,109,3588,14947
11,هود,Hūd,123,3930,16168
12,يوسُف,Yūsuf,111,3566,14512
13,الرَّعد,Ar-Raʿd,43,1701,7360
14,إِبراهيم,Ibrāhīm,52,1649,7050
15,الحِجر,Al-Ḥijr,99,1389,5896
16,النَّحل,An-Naḥl,128,3757,15908
17,الإسراء,Al-Isrā',111,3223,13549
18,الكَهف,Al-Kahf,110,3350,13823
19,مَريَم,Maryam,98,2036,8188
20,طه,Ṭā Hā,135,2830,11608
21,الأَنبِياء,Al-Anbiyāʾ,112,2437,10109
22,الحَجّ,Al-Ḥajj,78,2537,10938
23,المُؤمِنون,Al-Muʾminūn,118,2116,8871
24,النّور,An-Nūr,64,2611,11316
25,الفُرقان,Al-Furqān,77,1846,7811
26,الشُّعَراء,Ash-Shuʿarāʾ,227,2710,10938
27,النَّمل,An-Naml,93,2352,9712
28,القَصَص,Al-Qaṣaṣ,88,2900,11817
29,العَنكَبوت,Al-ʿAnkabūt,69,1969,8353
30,الرّوم,Ar-Rūm,60,1636,7003
31,لُقمان,Luqmān,34,1038,4415
32,السَّجدَة,As-Sajdah,30,745,3153
33,الأَحزاب,Al-Aḥzāb ,73,2594,11343
34,سَبَأ,Sabaʾ,54,1741,7287
35,فاطِر,Fāṭir,45,1519,6492
36,يس,Yā Sīn,83,1498,6040
37,الصّافّات,Aṣ-Ṣāffāt,182,1881,7896
38,ص,Ṣād,88,1553,6600
39,الزُّمَر,Az-Zumar,75,2319,9831
40,غافِر,Ghāfir,85,2449,10388
41,فُصِّلَت,Fuṣṣilat,54,1648,6929
42,الشّورىٰ,Ash-Shūrā,53,1682,7227
43,الزُّخرُف,Az-Zukhruf,89,1785,7486
44,الدُّخان,Ad-Dukhān,59,710,3023
45,الجاثِيَة,Al-Jāthiyah,37,999,4167
46,الأَحقاف,Al-Aḥqāf,35,1311,5561
47,مُحَمَّد,Muḥammad,38,1099,4853
48,الفَتح,Al-Fatḥ,29,1169,5157
49,الحُجُرات,Al-Ḥujurāt,18,663,2889
50,ق,Qāf,45,762,3150
